total_population,california_county,longitude,latitude,ces_4_0_percentile,low_birth_weight_pctl,cardiovascular_disease_pctl,education_pctl,poverty_pctl,unemployment_pctl
2780,Fresno ,-119.7816961,36.7096952,100,95.62,92.25,93.23,98.92,93.83
4680,San Joaquin,-121.2878729,37.9431727,99.99,88.72,88.12,94.47,98.39,99.21
2751,Los Angeles,-118.1974975,34.0175004,99.97,90.89,90.15,97.39,93.39,61.53
3664,Fresno ,-119.8277069,36.7345353,99.96,99.78,94.57,90.94,95.35,97.35
2689,Fresno ,-119.8055044,36.7354914,99.95,99.67,94.43,92.57,98.3,95.29
3306,Los Angeles,-118.2124134,33.881969,99.94,80.04,93.67,83.57,74.05,83.22
4255,Fresno ,-119.804314,36.6977507,99.92,98.4,94.57,92.99,99.41,97.14
5124,Los Angeles,-118.230032,33.8798617,99.91,80.73,81.31,92.33,88.92,93.49
4561,Fresno ,-119.7410277,36.7026849,99.9,88.09,61.13,97.43,98.12,97.9
3688,San Joaquin,-121.2853628,37.953996,99.89,99.36,89.13,95.79,99.31,96.46
2000,Los Angeles,-118.2077883,34.0588723,99.87,78.36,57.13,97.33,97.95,91.94
3640,Los Angeles,-118.286709,33.8771395,99.86,95.43,53.75,81.93,83.49,37.71
1949,Los Angeles,-118.0651222,34.0572554,99.85,66.83,74.84,97.39,92.37,93.09
6772,Los Angeles,-118.2350934,33.9327963,99.84,99.23,98.63,93.48,98.45,97.27
5705,Los Angeles,-118.2469968,34.0185256,99.82,66.05,93.28,99.62,96.86,77.76
2615,Los Angeles,-118.2502739,34.0244835,99.81,58.56,58.35,93.36,98.02,84.58
4225,Fresno ,-119.8010347,36.726462,99.8,96.74,94.57,88.71,97.37,NA
2464,Los Angeles,-118.0605567,34.0686907,99.79,90.6,68.2,92,74.05,76.05
5999,Los Angeles,-118.2649765,33.9856783,99.77,81.88,91.86,97.61,89.66,82.33
2031,Los Angeles,-118.2244531,34.0299036,99.76,99.7,50.12,92.69,90.87,84.58
3548,Los Angeles,-118.2117956,34.0187546,99.75,72.85,90.15,99.14,99.62,21.11
2048,San Joaquin,-121.3020724,37.952421,99.74,78.21,77.12,80.66,96.66,80.39
1820,Los Angeles,-118.2477686,34.0326196,99.72,71.64,65.09,74.41,75.4,79.72
5191,Fresno ,-119.8042772,36.717769,99.71,99.63,94.57,95.67,99.85,97.85
4669,Stanislaus ,-120.883606,37.4647928,99.7,66.83,97.16,77.23,87.09,89.46
5498,Fresno ,-119.7762091,36.7276563,99.68,77.55,84.18,91.03,96.93,98.54
3900,Los Angeles,-118.1782284,33.9448778,99.67,63.9,79.51,95.18,69.35,85.83
2174,Los Angeles,-118.4005905,34.2552325,99.66,87.09,52.73,96.46,93.92,NA
7326,Los Angeles,-118.275663,33.9469248,99.65,90.6,99.23,96.51,94.13,93.71
3553,Los Angeles,-118.2314205,33.947117,99.63,83.69,97.77,95.94,85.5,81.01
5363,San Bernardino,-117.6180131,34.0577805,99.62,67.37,82.9,95.68,94.23,19.59
5768,Los Angeles,-118.2870814,33.8886904,99.61,71.26,58,74.34,75.11,87.39
4832,Los Angeles,-118.2044859,33.8778668,99.6,88.4,82.58,93.79,89.76,85.49
4881,Los Angeles,-118.1751711,34.0096885,99.58,81.88,84.21,92.52,81.91,61.53
7155,Los Angeles,-118.1971508,33.8868935,99.57,72.08,96.51,87.67,86.86,83.63
5748,Los Angeles,-118.1611103,33.959603,99.56,79.19,96.68,97.84,99.48,91.79
6215,Los Angeles,-118.1827241,34.0169019,99.55,69.99,78.25,96.04,88.53,63.42
9052,Kern ,-118.9920281,35.3372541,99.53,78.56,94.92,89.86,95.18,99.71
4756,Los Angeles,-118.2502423,33.932376,99.52,89.8,99.08,96.9,99.86,98.54
6035,Los Angeles,-118.2426486,33.9363535,99.51,97.73,95.99,93.1,95.8,78.97
5687,Los Angeles,-118.2246242,34.046259,99.5,49.91,74.91,94.37,95.94,41.84
4735,Los Angeles,-118.2109036,33.8923624,99.48,80.16,97.53,84.37,86.97,99.23
2907,Los Angeles,-118.2185819,34.057226,99.47,75.56,75.69,83.45,95.24,29.41
3753,Los Angeles,-118.2771699,33.9857805,99.46,81.88,99.23,97.29,84.95,57.25
3809,Los Angeles,-118.368517,34.02931,99.45,97.66,67.81,82.46,77.58,59.38
4768,Los Angeles,-118.1672627,33.9580353,99.43,52.85,96.68,95.67,92.94,13.18
5935,Fresno ,-119.7577716,36.7107523,99.42,59.19,73.7,96.58,91.27,97.58
7624,San Joaquin,-121.3145235,37.9405169,99.41,81.88,88.52,86.95,84.12,52.52
3230,Los Angeles,-118.2453429,33.9255436,99.39,87.55,97.13,91.33,92.6,94.31
4904,Los Angeles,-118.2717325,33.9194635,99.38,97.45,85.14,94.04,77.31,57.25
3794,Los Angeles,-118.1704919,33.9722323,99.37,52.85,96.68,97.91,87.54,86.19
5633,Kern ,-118.9879161,35.3613217,99.36,98.01,95.99,99.14,98.99,99.86
6219,Los Angeles,-118.1616452,33.9702059,99.34,54.62,96.68,97.22,92.68,91.12
1963,Riverside ,-117.3560514,33.9857419,99.33,96.02,78.08,93.61,91.32,98.54
6558,Los Angeles,-118.4782103,34.2102531,99.32,95.87,86.24,78.75,80.34,39.21
6793,Madera ,-120.0616242,36.9597277,99.31,81.51,99.46,93.61,98.33,68.4
7273,Los Angeles,-118.1922187,33.8676075,99.29,81.22,89,84.09,89.06,74.74
4320,Los Angeles,-118.1852919,33.9599735,99.28,96.18,83.44,95.67,78.63,86.19
3099,Los Angeles,-118.2549079,33.7780161,99.27,64.47,92.82,96.77,90.87,43.09
2458,Los Angeles,-118.2631029,33.9783876,99.26,86.16,99.02,96.58,92.45,57.25
5342,Fresno ,-119.7499923,36.732259,99.24,97.51,89.41,97.15,99.38,91.79
3400,Los Angeles,-118.1986552,33.8685443,99.23,97.11,85.36,68.97,65.7,91.27
4334,Los Angeles,-118.2750006,33.962202,99.22,93.88,99.23,92.88,96.62,90.86
2109,Los Angeles,-118.2282398,33.9326754,99.21,60.57,97.79,97.95,88.09,73.41
3132,Los Angeles,-118.2839528,33.7476138,99.19,93.75,64.02,87.17,88.18,94.66
3720,Los Angeles,-118.1755664,33.9593595,99.18,94.97,88.7,97.71,90.05,79.72
6299,San Joaquin,-121.2688218,37.885527,99.17,77.8,89.46,89.22,78.63,91.55
3872,Los Angeles,-118.4548516,34.2188235,99.16,77.19,89.77,90.67,93.48,95.12
3039,Los Angeles,-118.0321896,34.0402202,99.14,92.28,74.84,77.59,79.99,70.9
2759,Fresno ,-119.804301,36.7104697,99.13,95.39,94.57,90.41,97.1,94.83
7637,Fresno ,-119.6279131,36.5629769,99.12,65.02,84.97,93.95,99.02,66.61
3904,Los Angeles,-118.2142985,34.0245059,99.1,68.54,90.15,99.39,92.2,44.35
3457,Los Angeles,-118.3919739,34.2044832,99.09,90.6,92.31,85.4,91.56,85.49
4013,Los Angeles,-118.1526793,33.9862905,99.08,59.56,80.22,85.7,76.98,NA
3542,Riverside ,-117.2825158,33.9293086,99.07,93.65,84.9,93.7,97.99,98.11
7508,Los Angeles,-118.2560631,34.0625684,99.05,94.51,33.6,82.31,91.46,86.75
2407,Fresno ,-119.7178427,36.6816,99.04,34.39,71.16,94.72,93.98,88.4
4788,Los Angeles,-118.200174,33.7863532,99.03,75.76,99.08,92.94,98.09,70.9
3841,Los Angeles,-118.2215755,33.8219958,99.02,63.54,90.84,84.84,83.24,82.33
6631,Kings ,-119.6308433,36.3080545,99,77.8,98.55,96.04,99.31,90.33
4501,Los Angeles,-118.2773062,33.9785291,98.99,84.53,99.23,96.81,96.62,67.48
2918,Los Angeles,-118.2430143,33.9920544,98.98,77.05,86.29,99.48,99.15,98.2
4150,Los Angeles,-118.3605226,34.0297377,98.97,94.03,75.52,94.37,81.91,58.36
6588,Los Angeles,-118.1668021,33.8674703,98.95,85.46,89,78.75,67.25,60.57
4165,Los Angeles,-118.1600078,33.8783269,98.94,91.04,68.38,83.61,95.62,83.22
2705,Los Angeles,-118.2391487,33.9774904,98.93,59.56,97.63,97.52,96.43,83.98
5505,Los Angeles,-118.2439607,34.009617,98.92,59.19,90.35,98.44,91.85,76.05
3112,Stanislaus ,-120.9667385,37.6287607,98.9,94.42,77.01,89.72,98.52,98.89
3289,Los Angeles,-118.2333907,33.9846156,98.89,89.8,97.03,98.18,91.56,68.4
3073,Los Angeles,-118.4703709,34.2248464,98.88,95.95,69.11,90.5,97.3,90.33
5510,Los Angeles,-118.2124515,34.0309821,98.87,71.26,84.98,91.03,67.85,78.97
7395,Los Angeles,-118.2597456,34.1316179,98.85,41.93,85.36,66.46,85.88,94.66
4443,Los Angeles,-118.3065724,33.9079762,98.84,81.33,52.55,88.76,83.24,63.42
4436,Kern ,-119.3337642,35.5917344,98.83,91.3,92.21,96.58,98.79,79.72
4802,Los Angeles,-118.0551094,34.0585512,98.81,83.85,74.84,95.94,93.39,49.86
1598,Sacramento ,-121.4825199,38.5916037,98.8,100,76.4,63.93,98.69,99.77
5139,Los Angeles,-118.3919494,34.2321411,98.79,96.56,67.12,94.65,86.38,49.86
2991,Los Angeles,-118.2242419,34.0887194,98.78,85.31,38.48,93.79,90.87,91.12
7139,Los Angeles,-118.1810628,33.9220335,98.76,65.02,83.51,97.25,80.55,86.75
6741,Riverside ,-117.367719,33.9711717,98.75,77.94,79.3,88.09,81.62,89.19
2704,Los Angeles,-118.4622655,34.2191995,98.74,83,89.57,84.18,79.55,82.33
3110,Los Angeles,-117.9903099,34.0641759,98.73,37.02,62.84,89.14,83.87,65.63
5159,Los Angeles,-118.2761415,33.9560337,98.71,82.46,99.23,93.43,94.43,82.33
5146,Los Angeles,-118.2768346,33.9364442,98.7,99.41,93.27,95.25,92.94,69.98
2852,Los Angeles,-118.2336329,33.945396,98.69,58.79,98.11,93.61,99.95,98.79
6124,Los Angeles,-118.1785185,33.8794113,98.68,91.63,62.95,78.93,69.48,84.98
3761,Los Angeles,-118.3831998,34.217858,98.66,83.85,81.97,91.27,69.35,65.63
4144,Los Angeles,-118.2614031,33.925262,98.65,96.1,83.77,83.8,76.62,69.13
6941,Kern ,-119.0109288,35.3604274,98.64,88.4,92.86,85.7,98.99,96.58
4401,Fresno ,-119.7810169,36.758343000000004,98.63,97.96,74.7,95.03,99.13,67.48
4080,Los Angeles,-118.2158297,34.0366414,98.61,58.02,55.45,97.03,94.5,83.63
2241,Los Angeles,-118.2058412,34.0238161,98.6,49.91,90.15,93.61,91.27,10.66
4059,Los Angeles,-118.3635823,33.9400821,98.59,97.2,73.85,96.36,94.71,33.58
6284,Fresno ,-119.8328803,36.7572824,98.58,90.29,30.27,90.76,97.83,96.58
4824,Los Angeles,-118.1822336,34.0217436,98.56,60.28,73.03,97.84,91.7,80.39
4503,Los Angeles,-118.3832842,34.20361,98.55,91.28,92.31,87.37,75.84,57.25
6402,Los Angeles,-118.2391843,33.9486636,98.54,83.85,98.11,97.91,98.79,89.19
3729,Los Angeles,-118.2628927,33.9729857,98.52,92.96,93.54,95.67,93.04,73.41
4577,Fresno ,-119.7634654,36.7540827,98.51,74.9,90.2,98.37,99.55,95.5
4709,Los Angeles,-118.24555,33.9802221,98.5,83,97.63,98.11,93.61,79.72
5439,Riverside ,-117.3422164,33.9951231,98.49,92.42,79.97,64.52,98.15,96.25
1292,Fresno ,-119.831179,36.7067181,98.47,95.27,94.57,87.47,98.23,98.48
6567,Los Angeles,-118.3021541,33.8484731,98.46,82.04,47.32,77.33,82.46,40.6
4071,Riverside ,-117.3763853,33.9798271,98.45,87.55,96.42,63.6,77.99,73.41
2254,Los Angeles,-118.2014531,33.7796381,98.44,93.06,94.32,91.27,93.39,66.61
3190,Kern ,-118.9985321,35.3604075,98.42,72.32,94.08,99.01,97.6,99.12
5944,Los Angeles,-118.0364142,34.0494754,98.41,88.23,74.84,92.65,84.33,32.27
5391,Los Angeles,-118.2197131,34.0800585,98.4,80.99,29.05,86.86,80.78,55.02
7058,Los Angeles,-118.2520343,33.9790503,98.39,85.03,97.63,98.92,97.56,77.76
5348,Los Angeles,-118.0584597,34.0649651,98.37,36.41,74.14,96.94,84.7,NA
3206,Los Angeles,-118.1514821,33.9583801,98.36,41.93,96.68,97.54,93.39,61.53
5339,Stanislaus ,-120.8576989,37.4861261,98.35,37.02,97.26,93.7,94.43,96.02
5337,Los Angeles,-118.261783,34.1403264,98.34,61.41,88.62,67.43,71.09,65.63
4972,San Bernardino,-117.3233041,34.0602092,98.32,78.56,87.94,86.47,93.48,51.26
7113,San Bernardino,-117.3168792,34.100314,98.31,83,96.86,92.88,97.19,89.67
11006,Madera ,-120.0448456,36.9589685,98.3,73.76,99.65,99.04,96.86,94.52
5779,Los Angeles,-118.0339351,34.0755467,98.29,58.56,42.4,91.03,83.04,88.4
4391,Los Angeles,-118.2868209,33.9200912,98.27,92.49,64.79,77.41,81.91,89.46
5134,Los Angeles,-118.2752632,33.966092,98.26,99.13,99.23,95.1,94.07,78.97
2873,Merced ,-120.4781909,37.3040353,98.25,96.95,99.8,83.57,98.3,99.57
5353,Los Angeles,-118.1850472,33.9427497,98.23,71.38,82.29,91.8,57.01,91.79
3737,Los Angeles,-118.2637832,33.9583159,98.22,94.66,86.27,98.63,95.41,92.65
2662,Merced ,-120.4917855,37.3071923,98.21,95.19,99.5,72.94,79.46,97.58
6635,Los Angeles,-117.7865057,34.0546198,98.2,63.9,67.93,73.42,73.2,89.93
3701,Los Angeles,-118.1918918,33.9548717,98.18,80.34,70.45,93.61,74.87,87.39
3339,Fresno ,-119.4974354,36.5995048,98.17,74.7,94.43,95.53,95.5,89.67
4001,Los Angeles,-118.2415978,34.046994,98.16,99.82,34.96,58.5,93.67,80.39
4195,Los Angeles,-118.2209803,33.9899239,98.15,37.58,85.43,94.62,79.99,81.01
5006,Los Angeles,-118.2253101,33.8940909,98.13,96.36,79.75,93.79,92.6,83.98
4721,Riverside ,-117.278368,33.8891026,98.12,96.97,86.75,82.46,89.28,81.01
6112,Los Angeles,-118.2865467,34.1623874,98.11,71.26,58.92,76.64,75.3,73.41
3059,Los Angeles,-118.2207001,33.913976,98.1,58.79,83.15,91.89,93.78,90.86
4498,Los Angeles,-118.1964766,34.059079,98.08,54.62,54.91,97.61,93.56,78.33
3718,Los Angeles,-118.3001717,33.927402,98.07,98.32,96.27,84.18,90.48,75.38
5277,Los Angeles,-118.2030018,34.0285553,98.06,86.03,68.56,96.41,85.88,64.51
5917,Los Angeles,-118.2118964,33.9078664,98.05,71.38,90.38,95.53,94.43,61.53
3006,San Diego,-117.1165151,32.6909862,98.03,87.44,72.56,89.22,95.99,63.42
4531,Los Angeles,-118.2582626,33.8906679,98.02,80.16,82.96,86.13,58.91,87.06
5353,Los Angeles,-118.2432565,33.9992469,98.01,78.36,80.78,98.28,93.56,69.98
3523,Los Angeles,-118.1890767,33.8934041,98,66.28,97.47,97.98,87.09,75.38
5776,Los Angeles,-118.2857509,33.9334324,97.98,99.01,84.07,86.95,86.07,87.06
4971,Fresno ,-119.7634304,36.7468175,97.97,92.2,90.2,98.46,98.92,90.86
5664,Los Angeles,-118.197207,33.778962,97.96,98,98.26,95.03,95.3,92.65
4590,Los Angeles,-118.2520926,33.9864059,97.95,80.99,94.97,99.25,92.14,41.84
5838,Los Angeles,-118.4596472,34.2066365,97.93,85.17,89.77,68.97,75.11,92.19
1580,San Bernardino,-117.2926063,34.1006404,97.92,98.87,92.21,92.12,98.63,NA
4805,Los Angeles,-118.2100244,33.8993431,97.91,69.99,97.53,95.42,88.09,87.39
3087,Los Angeles,-118.4116037,34.1972751,97.89,74.22,82.9,76.79,75.72,86.75
5146,Los Angeles,-118.2520958,33.9921607,97.88,85.46,94.9,98.9,92.29,55.02
3529,Solano ,-122.2449025,38.0900421,97.87,82.46,91.55,72.64,61.08,93.71
5807,Los Angeles,-118.2043891,33.9275094,97.86,91.39,83.71,91.89,91.13,77.1
2420,Alameda ,-122.2109235,37.7621786,97.84,92.81,49.83,88.21,81.91,89.67
5949,Los Angeles,-118.3700611,33.9590575,97.83,96.95,82.9,67.78,82.54,69.98
5045,Los Angeles,-118.4531264,34.2047824,97.82,83.17,89.93,74.17,87.3,91.12
3341,Los Angeles,-118.1955701,34.0248828,97.81,26.07,90.15,98.28,87.39,62.4
3719,Los Angeles,-118.165883,34.0387595,97.79,79.28,69.65,89.81,79.55,82.74
5456,Fresno ,-119.7791954,36.7724799,97.78,91.58,72.25,80.76,92.99,89.67
4759,Los Angeles,-118.2608177,33.9925311,97.77,86.35,93.17,97.61,93.48,45.78
4197,Los Angeles,-118.2679732,33.9296426,97.76,98.81,89.93,87.13,95.09,61.53
4976,Los Angeles,-117.7349296,34.0542821,97.74,85.31,70.86,98.3,86.51,26.86
4134,Los Angeles,-118.267011,33.7729434,97.73,82.14,92.82,96.23,90.87,48.26
4129,Los Angeles,-118.1915438,33.7862264,97.72,98.49,99.12,97.61,94.71,82.33
5269,Los Angeles,-118.2624816,34.0634788,97.71,88.95,35.09,92.41,94.71,76.69
3295,Los Angeles,-118.2265977,33.9058075,97.69,60.57,94.48,91.53,93.92,65.63
6881,Los Angeles,-118.1719652,33.8861963,97.68,77.55,65.57,80.66,90.15,85.83
3623,Los Angeles,-118.251933,34.0157537,97.67,87.77,94.9,99.6,94.07,82.74
6246,Los Angeles,-118.0367895,34.0678011,97.66,59.56,40.75,95.29,83.42,78.33
4556,Los Angeles,-118.3100903,33.9863341,97.64,97.82,87.18,84.92,84.54,74.74
4176,Los Angeles,-118.4523813,34.1830757,97.63,82.76,84.52,95.18,94.9,83.22
4750,Fresno ,-119.7933565,36.743063,97.62,93.94,88.66,91.71,99.03,98.33
4439,Los Angeles,-118.3638538,33.9348001,97.6,72.9,72.06,95.53,78.77,45.78
5259,Los Angeles,-118.1734078,33.9836095,97.59,46.77,84.42,97.08,73.2,92.88
2157,Los Angeles,-118.183979,34.0592143,97.58,71.03,71.88,93.7,58.79,71.67
5077,Los Angeles,-118.0533005,34.0788602,97.57,65.02,34.48,93.23,92.6,96.46
5000,Los Angeles,-118.4605367,34.1838638,97.55,81.88,85.52,90.05,87.88,25.23
9434,San Bernardino,-117.6996325,34.063215,97.54,73.51,81.64,87.37,96.51,92.19
6167,Los Angeles,-118.2684059,33.946945,97.53,95.01,93.98,96.34,92.79,97.35
2856,San Joaquin,-121.2686436,37.9313083,97.52,97.25,76.65,94.19,99.6,90.33
3489,Los Angeles,-118.2455126,34.1174815,97.5,71.79,38.48,86.13,88.32,55.02
3588,Los Angeles,-118.4698195,34.1879585,97.49,93.75,62.89,72.51,78.1,86.75
7949,Los Angeles,-118.2488118,33.9644276,97.48,84.53,95.14,98.13,89.51,86.75
2923,Kern ,-118.9369122,35.2620354,97.47,95.43,92.88,95.1,90.3,82.74
3417,Los Angeles,-118.2413457,33.9852598,97.45,13.91,93.52,98.01,96.98,89.93
3684,Los Angeles,-118.0588991,34.0468938,97.44,22.65,74.84,93.1,77.99,44.35
6829,Los Angeles,-118.2336919,33.9395183,97.43,77.94,90.24,95.36,92.37,95.29
4351,Los Angeles,-118.1829301,33.9660331,97.42,64.47,96.68,92.88,96.51,65.63
3063,Los Angeles,-118.2202429,34.0678503,97.4,83.85,24,85.32,85.34,26.86
5627,Orange ,-117.9110788,33.8211215,97.39,85.78,53.1,91.09,92.37,88.08
10772,Kern ,-118.9452577,35.3590376,97.38,78.65,95.99,94.14,93.39,97.27
5567,Los Angeles,-118.2839315,33.9996748,97.37,82.28,87.82,93.79,96.58,83.63
3155,Los Angeles,-118.1690175,33.9431242,97.35,93.11,63.72,70.08,51.41,55.02
8042,Los Angeles,-118.1796736,33.8686923,97.34,89.27,89,74.8,82.46,97.85
6524,Los Angeles,-118.2361363,33.9615844,97.33,62.88,89.62,99.18,84.91,43.09
6163,Los Angeles,-118.2136057,33.915979,97.31,72.32,77.72,95.67,95.8,67.48
4121,Los Angeles,-118.2302769,34.06898,97.3,96.51,35.9,96.23,90.48,72.53
2277,Riverside ,-117.3656342,33.9928146,97.29,60.57,97.07,80.87,65.54,97.48
3626,Los Angeles,-118.2871419,33.9024424,97.28,95.16,64.31,81.93,49.72,51.26
5620,San Joaquin,-121.3278662,37.9577717,97.26,63.77,91.19,72.94,85.18,82.33
2692,Los Angeles,-118.2115758,34.0650794,97.25,62.88,20.03,96.29,84.12,91.12
6638,Los Angeles,-118.2033535,33.9170524,97.24,65.83,81.82,91.09,78.45,92.88
2358,Los Angeles,-118.16579,33.9718406,97.23,7.78,95.45,94.25,88.32,83.22
3357,San Joaquin,-121.2449753,37.954985,97.21,62.98,95.46,93.79,97.75,96.02
3270,Los Angeles,-118.4327217,34.2670388,97.2,73.07,56.46,93.48,74.56,56.19
4952,Los Angeles,-118.2461145,33.948506,97.19,82.28,98.11,98.11,96.33,93.3
4687,Alameda ,-122.2213677,37.7200105,97.18,97.55,68.13,81.33,75.72,69.98
4334,San Joaquin,-121.278407,37.9292396,97.16,68.86,87.2,91.89,94.65,76.69
4832,Los Angeles,-118.4389293,34.2703268,97.15,83.85,35.09,94.32,95.58,66.61
3821,Los Angeles,-118.4357986,34.2051758,97.14,72.85,89.93,69.2,93.76,89.19
4489,Los Angeles,-118.2771882,33.9923979,97.13,91.48,46.16,95.42,94.23,76.05
4717,Los Angeles,-118.0226938,34.0464413,97.11,74.52,56.88,93.71,88.32,82.33
4512,Los Angeles,-118.2531399,33.9714062,97.1,85.59,97.63,97.95,94.65,78.33
6249,Merced ,-120.8585299,37.0634558,97.09,87.49,84.77,93.82,92.94,99.32
5360,Los Angeles,-118.2113097,33.7930319,97.08,31.08,86,91.8,89.36,83.22
2930,Los Angeles,-118.1755967,34.0539591,97.06,76.44,74.36,91.03,68.94,79.72
6986,Los Angeles,-118.195066,33.9724728,97.05,72.48,96.68,91.89,91.56,82.33
4016,Los Angeles,-118.2749023,33.9694507,97.04,59.76,99.23,94.32,99.25,76.05
4049,Los Angeles,-118.1537012,33.967443,97.02,85.77,88.47,94.47,90.74,51.26
3998,Los Angeles,-118.2236211,33.9564949,97.01,65.36,82.29,95.87,88.81,94.52
8069,Orange ,-117.9482327,33.843269,97,93.51,73.9,82.78,67.61,64.51
4196,Los Angeles,-117.9690103,34.072647,96.99,94.51,65.07,78.75,60.79,78.97
1663,San Joaquin,-121.2839329,37.9162284,96.97,92.61,88.11,94.65,88.18,32.27
2845,Los Angeles,-118.2658977,34.0367637,96.96,69.68,61.71,80.46,93.12,NA
4410,Los Angeles,-118.0141173,34.0520775,96.95,71.26,69.32,91.71,83.87,82.33
4597,Los Angeles,-118.1853182,33.8006191,96.94,93.35,82.79,89.98,84.4,40.6
3981,Los Angeles,-118.1780909,33.9049478,96.92,42.52,81.82,94.96,92.02,41.84
3205,Tulare ,-119.4468987,36.4518121,96.91,83.31,49.5,94.53,98.09,87.69
3610,Los Angeles,-118.4020625,34.2121219,96.9,78.36,92.31,77.06,54.95,81.01
2687,Los Angeles,-118.2475763,33.7957797,96.89,62.11,92.82,96.17,78.28,79.72
3785,Los Angeles,-118.2755609,33.92558,96.87,98.26,93.81,94.93,91.76,18.31
4238,Merced ,-120.4768042,37.2916307,96.86,95.16,98.94,98.51,98.97,95.72
4387,Los Angeles,-117.7503192,34.0577434,96.85,85.03,75.22,74.8,83.42,89.46
6568,Los Angeles,-118.2858532,33.9923462,96.84,92.89,86.29,94.37,85.44,40.6
2557,Los Angeles,-118.2767157,34.0406231,96.82,94.71,61.58,96.23,97.47,57.25
2195,San Diego,-117.1411746,32.6948502,96.81,65.02,73.37,87.13,90.36,6.3
5794,Los Angeles,-118.0787046,33.9680887,96.8,52.36,88,79.73,56.22,40.6
5569,Los Angeles,-117.9969046,34.0468815,96.79,39.54,78.44,87.75,63.24,83.63
3739,Los Angeles,-118.2514556,34.1090483,96.77,68.41,29.45,67.3,76.24,82.33
2848,Los Angeles,-118.1871993,33.9879399,96.76,66.28,82.9,93.36,69.56,69.98
7254,Los Angeles,-118.2539533,33.881033,96.75,76.82,68.2,79.27,65.7,58.36
4681,San Joaquin,-121.2605554,37.9516762,96.73,54.12,96.73,95.25,97.95,87.06
3682,Los Angeles,-118.2752977,33.9728371,96.72,86.03,99.23,93.43,92.83,26.86
4649,Los Angeles,-118.284187,33.7346618,96.71,87.77,64.02,83.57,86.62,84.98
3782,San Bernardino,-117.3703725,34.0995419,96.7,87.44,95.44,87.75,98.43,90.59
4825,Los Angeles,-118.2499406,33.999367,96.68,73.33,94.9,98.8,97.95,84.58
5531,Los Angeles,-118.2570623,34.0218419,96.67,69.35,94.9,99.2,89.87,83.63
6750,San Bernardino,-117.2908999,34.1322998,96.66,87.34,87.57,88.71,93.12,92.4
4981,Los Angeles,-118.2341162,33.9243583,96.65,91.04,56.46,90.46,95.41,99.83
3036,Los Angeles,-118.1235535,34.0060075,96.63,94.42,57.44,91.43,91.27,65.63
3660,Los Angeles,-118.211907,34.0762204,96.62,96.29,26.58,89.22,95.84,95.29
3628,Los Angeles,-118.3132694,34.033886,96.61,90.08,80.89,76.18,94.6,48.26
4476,Los Angeles,-118.2241036,33.9506731,96.6,60.28,82.29,95.87,83.66,90.86
2691,Los Angeles,-118.2776959,34.0756705,96.58,91.28,60.28,68.75,71.91,69.98
2728,Los Angeles,-118.3736105,34.2197648,96.57,18.4,67.12,97.65,95.5,52.52
3386,San Bernardino,-117.2948174,34.0741251,96.56,46.29,90.3,88.71,75.84,78.97
4621,Los Angeles,-118.2488361,33.9587246,96.55,82.61,97.18,94.93,90.87,67.48
3154,Los Angeles,-118.2116197,34.0445316,96.53,80.16,76,97.03,97.02,61.53
6111,Los Angeles,-118.2508919,33.9512593,96.52,92.71,98.11,98.87,83.66,79.72
4737,Los Angeles,-118.3592342,34.0369278,96.51,88.23,55.82,76.79,70.84,22.57
6032,Los Angeles,-118.0200912,34.0587041,96.5,43.08,64.02,97.32,94.43,87.69
4189,Los Angeles,-118.2502155,33.9392821,96.48,97.25,85.62,92.17,94.6,91.55
3853,Los Angeles,-118.2774453,33.7748702,96.47,72.85,89.15,96.51,92.73,37.71
3263,San Bernardino,-117.6174205,34.040951,96.46,56.12,82.13,71.55,47.32,92.65
3648,Los Angeles,-118.2465194,33.9711665,96.44,76.64,97.63,97.22,86.62,68.4
4435,Fresno ,-119.7453702,36.7577993,96.43,95.87,73.62,96.29,99.08,96.72
2797,Los Angeles,-118.0467069,34.0769216,96.42,33.12,63.83,92.99,86.68,17.11
5934,Tulare ,-119.2918483,35.9647863,96.41,47.59,73.62,99.04,97.31,96.72
4599,Los Angeles,-118.1463431,34.0003294,96.39,35.04,76.81,91.8,58.02,75.38
3152,Fresno ,-119.792414,36.8444241,96.38,56.88,71.49,56.73,92.51,86.19
6736,Los Angeles,-118.2606543,33.9346821,96.37,98.74,91.92,91.33,90.05,67.48
6318,Orange ,-117.9100305,33.8476162,96.36,57.39,55.53,98.17,90.87,44.35
5383,Fresno ,-119.7455349,36.7250147,96.34,90.89,85.9,95.29,94.07,68.4
6727,San Bernardino,-117.2922119,34.1173182,96.33,81.88,96.37,94.96,97.53,74.74
9180,San Bernardino,-117.2905586,34.124986,96.32,79.91,78.44,95.42,99.54,87.69
4837,Fresno ,-119.8121471,36.65561,96.31,74.22,74.95,73.42,77.99,60.57
5328,San Joaquin,-121.2897337,37.9290303,96.29,37.88,88.11,92.33,89.51,93.3
5505,San Diego,-117.138677,32.7018526,96.28,49.62,66.65,94.93,96.72,77.76
4201,Los Angeles,-118.1556129,33.8716329,96.27,86.54,77.6,73.42,72.74,77.76
2348,Los Angeles,-118.218295,33.8997715,96.26,52.54,97.53,95.25,88.81,81.69
7149,Alameda ,-122.1969422,37.7588039,96.24,98.65,90.47,92.22,95,79.72
4851,Los Angeles,-118.1885025,34.0360915,96.23,52.85,74.36,96.71,80.11,96.72
