total_population,california_county,longitude,latitude,ces_4_0_percentile,low_birth_weight_pctl,cardiovascular_disease_pctl,education_pctl,poverty_pctl,unemployment_pctl
3975,San Bernardino,-117.4081152,34.0837281,70.63,92.89,64.31,89.4,87.19,NA
5931,Sacramento ,-121.4221792,38.5067176,70.61,71.38,73.11,83.9,84.21,83.63
1642,Los Angeles,-118.1796451,33.8128912,70.6,16.22,31.75,58.5,51.95,79.72
4636,Sacramento ,-121.3810288,38.4780935,70.59,81.7,69.14,63.6,67.68,95.6
7793,Riverside ,-117.4200459,33.9417307,70.57,59.31,71.62,64.65,68.48,41.84
3364,Los Angeles,-118.1739007,34.0851726,70.56,69.35,56.12,82.92,82.73,71.67
6343,San Francisco,-122.4200011,37.7686074,70.55,83.5,17.58,47.77,65.08,53.89
2538,Los Angeles,-118.3834061,34.1812289,70.54,78.56,30.75,61.21,77.2,51.26
5975,Orange ,-118.0111021,33.8527439,70.52,55.61,71.45,64.52,34.48,7.14
5542,Riverside ,-117.5057387,33.8857174,70.51,60.57,65.98,59.11,54.03,67.48
5137,Orange ,-117.8897014,33.7649688,70.5,81.7,27.24,86.36,49.12,76.69
9788,Fresno ,-119.5717189,36.7191064,70.49,54.27,57.38,77.33,73.63,44.35
5151,Sacramento ,-121.3406904,38.5003097,70.47,36.41,53.9,47.51,58.51,62.4
3852,Sacramento ,-121.3667921,38.6646872,70.46,75.12,65.39,60.15,82.14,49.86
7822,Tehama ,-122.2210805,39.8868917,70.45,24.99,92.45,69.78,77.99,84.98
2712,Los Angeles,-118.322075,33.9345627,70.44,77.8,73.47,43.41,43.14,41.84
4823,Los Angeles,-118.5939793,34.2257746,70.42,33.95,62.84,72.51,66.68,7.14
6850,Santa Barbara,-120.4447531,34.9496291,70.41,51.82,15.67,100,95.3,82.74
4108,Los Angeles,-118.4443439,34.1703043,70.4,79.91,73.75,35.88,44.22,45.78
8343,Solano ,-121.8169166,38.4428124,70.39,14.9,63.72,79.42,59.52,80.39
4595,Contra Costa,-121.8644952,38.0040446,70.37,98.94,85.79,55.34,63.64,98.02
5847,San Diego,-117.1615102,32.7156831,70.36,98.09,33.92,53.58,50.4,0.91
3277,Alameda ,-122.0930122,37.6362205,70.35,76.44,73.98,65.95,53.87,22.57
4297,Los Angeles,-118.4654157,34.2536518,70.34,66.64,39.08,70.93,70.13,75.38
1889,Merced ,-120.7903626,37.4123664,70.32,17.98,29.77,86.59,86.38,87.69
3312,Los Angeles,-118.0599559,34.0786952,70.31,3.57,29.65,75.22,51.09,52.52
4194,Los Angeles,-118.6117577,34.244544,70.3,89.27,70.6,23.66,45.53,71.67
5016,Sacramento ,-121.4347594,38.5428857,70.28,72.08,89.05,27.61,56.57,85.49
5449,San Bernardino,-117.6870214,34.0801578,70.27,43.79,68.38,67.3,50.85,37.71
8196,Fresno ,-119.5391563,36.5460522,70.26,12.14,64.37,49.42,50.85,29.41
3154,Los Angeles,-117.7893657,34.114067,70.25,76.44,39.94,47.51,33.37,69.13
5916,Orange ,-117.8831131,33.8820401,70.23,72.85,41.45,32.94,87.94,78.97
7500,Orange ,-117.8707228,33.7572599,70.22,25.9,13.1,98.77,99.28,84.98
14133,San Bernardino,-117.3899458,34.1801741,70.21,44.47,74.7,61.1,19.38,83.22
4466,Los Angeles,-118.2945655,33.7301628,70.2,58.56,64.02,70.69,82.46,32.27
4993,San Joaquin,-121.3066509,38.0148793,70.18,89.65,59.68,70.69,75.98,71.67
5960,Los Angeles,-118.1171582,33.9622692,70.17,29.88,43.41,66.63,49.55,28.2
10343,San Francisco,-122.4107241,37.7794338,70.16,79,37.3,29.68,52.11,1.55
2491,Los Angeles,-118.3395521,33.898257,70.15,99.54,71.45,50.97,11.67,5.57
5128,Alameda ,-122.2723135,37.8417578,70.13,66.83,35.18,NA,58.91,67.48
6213,Los Angeles,-117.7766343,34.097863,70.12,26.29,40,49.19,55.39,77.76
4370,Tulare ,-119.3228298,36.3200435,70.11,63.54,59.12,52.52,67.61,51.26
4691,San Bernardino,-117.4303742,34.1048553,70.1,20.67,62.26,86.72,88.73,74.1
4856,Los Angeles,-118.3569295,33.8765977,70.08,42.52,67.17,72.25,70.34,55.02
4913,Orange ,-117.9305408,33.8106404,70.07,35.04,45.03,86.13,75.98,58.36
4266,Alameda ,-122.11212,37.6685048,70.06,89.27,80.18,75.45,58.34,72.53
5549,Sacramento ,-121.3509892,38.6572651,70.05,77.05,78.56,38.47,71.91,NA
5118,Santa Clara,-121.8299116,37.2804987,70.03,61.21,58.54,90.64,82.14,68.4
3214,Los Angeles,-118.1392813,33.9043767,70.02,63.9,69.74,82.55,76.24,60.57
5303,Alameda ,-122.1733521,37.737851,70.01,10.59,80.1,84.32,88.32,84.58
6041,Santa Barbara,-120.444653,34.9568972,69.99,63.32,16.53,99.75,93.56,55.02
9150,Orange ,-117.8679465,33.7812601,69.98,75.33,20.6,53.4,50.4,51.26
11695,Stanislaus ,-120.9477458,37.7234293,69.97,61.01,57.61,58.92,36.11,9.72
6378,Los Angeles,-118.0806903,33.8693945,69.96,93.65,55.98,52.52,52.53,79.72
4485,Orange ,-117.8891258,33.8707135,69.94,23.92,42.86,45.18,59.37,82.74
2972,Riverside ,-117.4613234,33.9729183,69.93,48.77,76.96,66.46,63.91,46.99
3866,Orange ,-117.8214885,33.7329217,69.92,93.15,48.39,54.07,52.26,52.52
5338,San Diego,-116.9564885,32.8030833,69.91,66.64,43.49,54.07,85.18,72.53
5422,San Bernardino,-117.3194653,34.1853082,69.89,91.28,76.57,28.45,85.68,98.17
3413,Los Angeles,-118.2940727,34.056128,69.88,51.82,14.01,77.59,87.76,71.67
3825,San Bernardino,-117.3236045,34.025688,69.87,67.17,72.5,39.21,39.4,79.72
4717,Tulare ,-119.3208345,36.203971,69.86,56.61,93.07,61.81,59.23,69.13
6457,Santa Clara,-121.8620422,37.3645486,69.84,79,20.11,90.41,94.9,93.3
3357,Alameda ,-122.2461006,37.7933319,69.83,84.62,32.24,68.75,74.16,56.19
4791,San Diego,-117.1151978,32.7470742,69.82,50.19,25.74,81.14,78.77,63.42
5229,Los Angeles,-118.4987424,34.238143,69.81,74.7,41.75,48.58,30.29,60.57
3910,Los Angeles,-118.0710962,34.0976177,69.79,50.19,23.59,51.89,59.82,22.57
3878,Sacramento ,-121.5148924,38.6099173,69.78,95.62,86.24,18.81,52.71,73.41
5334,Alameda ,-122.1103206,37.6923654,69.77,83.99,49.5,74.65,70.13,89.93
5969,Sacramento ,-121.3922482,38.6031948,69.76,52.01,55.21,44.01,75.11,95.6
1406,Alameda ,-122.26681,37.8071501,69.74,12.59,39.46,66.31,82.21,55.02
10542,Fresno ,-119.9090383,36.7715459,69.73,87.02,48.31,69.64,69.96,82.33
3232,Fresno ,-119.811928,36.8437897,69.72,87.34,39.21,44.65,51.95,28.2
6586,Alameda ,-122.2169867,37.7880813,69.7,80.34,35.72,76.18,81.76,82.33
5513,Sacramento ,-121.4417291,38.5519098,69.69,3.57,54.91,52.32,65.7,NA
5407,Los Angeles,-118.140161,34.0869807,69.68,78.21,2.55,63.6,73.42,53.89
4909,San Bernardino,-117.2531226,34.0583656,69.67,86.81,29.65,62.48,83.49,63.42
2661,Los Angeles,-118.4606541,34.2892618,69.65,57.1,35.09,74.65,50.68,6.3
4468,Santa Clara,-121.8399909,37.3330501,69.64,92.2,66.44,85.85,44.62,68.4
4877,San Diego,-116.9599184,32.7912947,69.63,49.62,64.61,75.74,82.94,68.4
4961,Los Angeles,-118.3373323,33.9055479,69.62,39.52,86.75,63.6,73.89,49.86
5404,Stanislaus ,-120.8421217,37.5053439,69.6,18.4,70.8,67.6,87.88,91.94
5470,Riverside ,-117.1606951,33.7976018,69.59,66.05,75.91,75.45,65.08,NA
3141,Los Angeles,-118.4467204,34.3020803,69.58,18.8,57.13,89.29,74.87,83.63
4355,Los Angeles,-118.1749059,34.1156486,69.57,66.05,38.87,68.03,65.41,78.97
5389,Riverside ,-116.9602294,33.9374598,69.55,80.73,94.68,53.4,60.01,78.97
7043,Alameda ,-122.1551539,37.7226922,69.54,68.71,64.63,58.28,51.41,74.1
4677,Los Angeles,-118.1459703,33.9414621,69.53,48.99,87.97,50.97,37.16,29.41
6167,Los Angeles,-117.8892621,34.081477,69.52,47.59,61.69,44.94,60.79,44.35
2629,Sacramento ,-121.371319,38.5619376,69.5,93.65,71.97,44.65,85.24,76.69
7488,Sacramento ,-121.4238461,38.4663129,69.49,43.55,98.74,70.69,79.13,86.19
4416,Los Angeles,-118.3650028,34.1828906,69.48,58.79,42.02,66.63,77.81,28.2
2653,Los Angeles,-118.3220544,33.9418498,69.47,99.92,85.92,49.42,48.03,70.9
