ces_4_0_score,ces_4_0_percentile,ces_4_0_percentile_range,california_county,total_population,hispanic_percent,white_percent,african_american_percent,native_american_percent,asian_american_percent,other_multiple_percent
33.07,64.16,60-65%,Los Angeles,5628,65.65,19.46,2.26,0,11,1.63
29.51,57.88,55-60%,Los Angeles,6224,62.44,16.15,2.39,0.4,17,1.62
19.66,36.67,35-40%,Los Angeles,6687,53.39,25.62,4.49,0.43,11.4,4.68
28.72,56.33,55-60%,Los Angeles,3174,53.28,31.7,1.42,0.95,10.21,2.46
27.59,54.08,50-55%,Los Angeles,5140,40.08,43.58,6.21,1.17,7.51,1.46
32.07,62.52,60-65%,Los Angeles,4614,70.03,19.96,1.28,0,8.73,0
31.78,62.04,60-65%,Los Angeles,6277,81.01,6.5,3.47,0,7.31,1.7
46.43,83.79,80-85%,Los Angeles,3519,68.71,15.23,0.71,1.05,11.03,3.27
38.15,72.40,70-75%,Los Angeles,4252,54.8,27.92,2.8,0.4,12.37,1.72
49.93,87.78,85-90%,Los Angeles,5503,87.23,5.89,3.25,0,3.29,0.35
30.80,60.27,60-65%,Los Angeles,2176,73.9,13.14,0.92,0,11.63,0.41
43.40,80.03,80-85%,Los Angeles,3715,84.93,9.99,1.13,0,2.63,1.32
60.16,95.79,95-100% (highest scores),Los Angeles,5156,76.24,5.28,2.48,0,13.48,2.52
41.68,77.61,75-80%,Los Angeles,2789,85.37,4.84,1,0,6.38,2.4
42.78,79.15,75-80%,Los Angeles,2638,74.37,8.38,2.92,0,12.21,2.12
31.09,60.80,60-65%,Los Angeles,5073,79.52,7.35,3.37,0,9.52,0.24
45.94,83.13,80-85%,Los Angeles,1394,90.32,8.46,0,0,0.65,0.57
55.86,93.15,90-95%,Los Angeles,5665,77.32,3.95,0.19,0,18.23,0.3
54.09,91.74,90-95%,Los Angeles,5629,66,3.32,2.5,0,27.84,0.34
68.41,98.73,95-100% (highest scores),Los Angeles,3110,83.92,2.22,1.54,0,11.22,1.09
51.36,89.31,85-90%,Los Angeles,7911,73.18,3.73,0.97,0,21.97,0.15
62.77,96.99,95-100% (highest scores),Los Angeles,4196,73.26,4.46,1.36,0.64,20.18,0.1
48.45,86.08,85-90%,Los Angeles,1719,77.43,12.16,0,0,10.41,0
46.69,84.06,80-85%,Los Angeles,5700,72.33,3.63,2.65,0,21.39,0
34.63,66.99,65-70%,Los Angeles,3968,63.73,2.67,0.05,0,32.76,0.78
44.82,81.73,80-85%,Los Angeles,2738,64.83,2.67,0,0,32.51,0
50.27,88.21,85-90%,Los Angeles,6029,85.52,2.8,0.58,0,10.6,0.5
42.67,78.93,75-80%,Los Angeles,3169,81.41,2.08,0.41,1.23,14.29,0.57
42.59,78.79,75-80%,Los Angeles,5617,76.05,3.24,0.84,0,19.58,0.28
54.21,91.81,90-95%,Los Angeles,5639,72.14,4.79,2.23,0.46,20.38,0
52.47,90.49,90-95%,Los Angeles,4933,74.21,4.32,3.39,0.24,16.22,1.62
50.15,88.04,85-90%,Los Angeles,4850,76.85,2.82,2.21,0.76,16.93,0.43
47.52,84.97,80-85%,Los Angeles,3638,68.99,9.76,0.69,0,19.93,0.63
28.48,55.86,55-60%,Los Angeles,3469,67.92,10.03,2.94,0,17.21,1.9
40.99,76.64,75-80%,Los Angeles,5433,67.72,9.94,2.19,0,18.79,1.36
27.22,53.48,50-55%,Los Angeles,4950,75.66,12.4,1.76,0,8.91,1.27
29.26,57.39,55-60%,Los Angeles,6596,61.83,13.72,0.77,0.91,21.36,1.41
26.89,52.82,50-55%,Los Angeles,5553,62.7,13.96,2.38,0,20.58,0.38
24.31,47.39,45-50%,Los Angeles,3862,69.06,14.71,0,0,15.3,0.93
34.50,66.70,65-70%,Los Angeles,4957,55.98,13.88,7.83,0,18.01,4.3
28.43,55.77,55-60%,Los Angeles,5825,68.03,15.18,1.13,0,9.84,5.82
29.31,57.46,55-60%,Los Angeles,3951,64.84,18.88,2.48,0.66,11.52,1.62
28.83,56.64,55-60%,Los Angeles,5206,60.07,23.74,1.61,0.25,12.04,2.29
32.70,63.58,60-65%,Los Angeles,3105,60.42,21.13,3.61,1.93,9.82,3.09
36.26,69.52,65-70%,Los Angeles,6167,70.86,14.92,3.92,0.24,8.5,1.56
44.29,81.22,80-85%,Los Angeles,5811,60.47,14.46,3.94,0,19.43,1.7
31.96,62.36,60-65%,Los Angeles,5829,37.9,20.24,1.66,0,33.67,6.52
23.95,46.68,45-50%,Los Angeles,2043,53.55,30.1,1.76,0,9.1,5.48
44.23,81.14,80-85%,Los Angeles,2002,57.44,18.48,2.15,0,18.43,3.5
27.57,54.06,50-55%,Los Angeles,2123,50.45,21.62,1.65,0,25.44,0.85
37.69,71.62,70-75%,Los Angeles,6655,57.55,9.59,3.59,0.5,23.56,5.21
15.60,26.89,25-30%,Los Angeles,5550,58.43,17.28,3.48,0.47,18.67,1.68
29.33,57.50,55-60%,Los Angeles,5198,65.7,11.33,0.31,0.15,22.14,0.37
37.52,71.38,70-75%,Los Angeles,3082,58.6,8.57,8.66,0.16,22.58,1.43
44.43,81.35,80-85%,Los Angeles,6375,57.25,12.85,2.34,0,25.11,2.45
37.99,72.15,70-75%,Los Angeles,4866,57.71,10.93,2.38,0,27.87,1.11
40.96,76.60,75-80%,Los Angeles,4773,77.16,3.42,2.05,0,16.36,1.01
32.94,63.92,60-65%,Los Angeles,3584,72.85,5.22,1.14,0,18.5,2.29
51.08,88.97,85-90%,Los Angeles,6284,92.03,1.54,0.38,0,5.49,0.56
60.34,95.90,95-100% (highest scores),Los Angeles,3436,84.46,3.17,0.76,0,10.83,0.79
43.49,80.12,80-85%,Los Angeles,4883,87.08,3.97,0.7,0,8.25,0
49.13,86.89,85-90%,Los Angeles,5710,78.53,2.01,1.02,0.51,16.43,1.51
56.23,93.37,90-95%,Los Angeles,6910,86.98,4.66,0.03,0,8.34,0
34.06,65.96,65-70%,Los Angeles,4949,76.72,4.71,1.01,0,16.12,1.43
40.70,76.13,75-80%,Los Angeles,3503,85.67,1.37,1.66,0,11.31,0
34.24,66.29,65-70%,Los Angeles,1977,45.17,11.23,5.92,0,29.94,7.74
40.71,76.17,75-80%,Los Angeles,4257,78.44,4.6,1.29,0,15.57,0.09
30.39,59.44,55-60%,Los Angeles,4170,84.65,4.6,2.57,0,7.48,0.7
54.31,91.92,90-95%,Los Angeles,4608,83.75,2.56,1.41,0,12.28,0
47.32,84.81,80-85%,Los Angeles,3993,80.12,2.38,2.4,0.68,13.43,1
49.24,87.10,85-90%,Los Angeles,4903,83.09,2.75,0.31,0,13.85,0
48.11,85.65,85-90%,Los Angeles,6744,76.3,7.24,0.62,0.64,14.72,0.47
45.55,82.64,80-85%,Los Angeles,5727,68.92,3.11,1.05,0.14,24.18,2.6
41.92,77.94,75-80%,Los Angeles,3476,77.24,3.97,1.29,1.21,16.2,0.09
34.18,66.23,65-70%,Los Angeles,6082,66.9,5.05,5,0,22.58,0.48
26.62,52.26,50-55%,Los Angeles,4577,61.02,4.98,6.23,0,27.59,0.17
26.37,51.56,50-55%,Los Angeles,2493,44.52,6.62,10.71,0,36.5,1.64
21.34,40.67,40-45%,Los Angeles,5161,37.57,12.23,5.44,0,40.24,4.51
33.88,65.65,65-70%,Los Angeles,3344,36.57,3.53,3.98,0,53.95,1.97
37.36,71.18,70-75%,Los Angeles,5203,53.32,6.13,4.15,0,35,1.4
26.68,52.41,50-55%,Los Angeles,2760,30.25,10.51,5,0,50.4,3.84
24.81,48.34,45-50%,Los Angeles,3882,37.17,8.5,4.56,0,48.66,1.11
29.16,57.20,55-60%,Los Angeles,4224,52.65,8.03,6.2,0.45,31.87,0.8
31.93,62.30,60-65%,Los Angeles,4277,45.15,8.3,7.55,0,37.83,1.17
39.85,74.75,70-75%,Los Angeles,5432,89.12,4.71,0.74,0,4.6,0.83
49.50,87.37,85-90%,Los Angeles,4536,94.16,3.06,0.33,0,2.45,0
52.91,90.81,90-95%,Los Angeles,3793,91.12,2.16,0.82,0,5.91,0
34.83,67.30,65-70%,Los Angeles,5366,80.67,0.89,0.11,0,18.32,0
54.57,92.16,90-95%,Los Angeles,2015,80.79,6.7,0,0,10.37,2.13
41.60,77.48,75-80%,Los Angeles,6381,28.99,4.22,1.18,0,63.99,1.63
29.58,57.97,55-60%,Los Angeles,5042,29.69,7.3,3.47,0.02,58.01,1.51
62.47,96.79,95-100% (highest scores),Los Angeles,5569,88.49,1.63,0.54,0,9.34,0
40.18,75.28,75-80%,Los Angeles,3836,75.55,7.14,0,0,16.03,1.28
34.93,67.45,65-70%,Los Angeles,4183,67.46,13.51,1.22,0,17.81,0
54.19,91.79,90-95%,Los Angeles,4389,62,9.5,2.57,0,25.75,0.18
34.35,66.45,65-70%,Los Angeles,6646,61.39,16.25,1.02,0.29,21.05,0
59.49,95.37,95-100% (highest scores),Los Angeles,3050,70.92,4.92,0.46,0,23.48,0.23
13.51,21.72,20-25%,Los Angeles,6673,33.88,16.87,1.71,0.33,44.82,2.38
38.43,72.84,70-75%,Los Angeles,5193,54,10.98,0.19,0,33.62,1.21
26.53,52.05,50-55%,Los Angeles,2653,46.44,17.49,0.72,0.83,34.53,0
32.90,63.83,60-65%,Los Angeles,3268,30.69,16.06,2.66,0,47.67,2.91
25.98,50.93,50-55%,Los Angeles,2958,24.98,8.25,0.03,0,65.75,0.98
26.10,51.10,50-55%,Los Angeles,4214,31.87,14.74,0,0.33,52.23,0.83
19.40,35.94,35-40%,Los Angeles,4037,21.8,6.07,2.08,0,70.05,0
10.02,13.00,10-15%,Los Angeles,3076,19.73,11.22,1.33,0,66.15,1.56
22.62,43.51,40-45%,Los Angeles,5177,20.71,8.56,1.27,0,67.36,2.11
16.75,29.80,25-30%,Los Angeles,3012,23.71,13.25,2.06,0.2,57.57,3.22
39.47,74.10,70-75%,Los Angeles,2510,75.66,4.26,0,0,17.45,2.63
40.62,76.07,75-80%,Los Angeles,5214,58.78,8.4,0.15,0,31.66,1
14.60,24.56,20-25%,Los Angeles,6545,9.53,6.39,0.86,0,81.93,1.3
22.62,43.52,40-45%,Los Angeles,3311,26.16,7.55,1.9,0,63.09,1.3
20.59,39.04,35-40%,Los Angeles,5625,23.52,11.77,0,0,64.2,0.52
11.26,16.09,15-20%,Los Angeles,1835,16.78,12.1,0.38,7.41,60.76,2.56
15.10,25.77,25-30%,Los Angeles,4313,26.43,12.1,0.19,0.23,60.65,0.39
18.11,32.98,30-35%,Los Angeles,2975,25.88,10.69,2.35,0.17,57.34,3.56
28.19,55.28,55-60%,Los Angeles,5542,56.35,2.51,1.39,0,38.47,1.28
62.58,96.85,95-100% (highest scores),Los Angeles,4387,68.27,14.36,6.5,0,6.88,3.99
35.37,68.09,65-70%,Los Angeles,6522,43.93,26.74,7.24,0,21.47,0.63
11.16,15.82,15-20%,Los Angeles,4971,33.19,36.29,3.38,0.26,20.68,6.2
41.84,77.81,75-80%,Los Angeles,5382,50.5,24.88,5.96,0.33,15.92,2.4
37.12,70.76,70-75%,Los Angeles,4684,75.19,9.35,4.61,1.71,8.9,0.23
10.06,13.07,10-15%,Los Angeles,1026,12.09,55.46,0.78,0,30.41,1.27
11.37,16.29,15-20%,Los Angeles,4319,17.81,62.95,4.12,0,11.99,3.13
17.12,30.61,30-35%,Los Angeles,5339,28.71,53.4,1.57,0,9.16,7.15
18.75,34.62,30-35%,Los Angeles,4642,6.79,25.66,3.08,0,62.41,2.07
8.95,10.53,10-15%,Los Angeles,4030,5.98,68.26,1.17,0.2,18.41,5.98
10.78,14.91,10-15%,Los Angeles,6902,19.28,65.18,0.52,0,12.33,2.68
16.61,29.35,25-30%,Los Angeles,4553,4.88,31.91,1.74,0,55.28,6.19
17.26,30.93,30-35%,Los Angeles,5846,15.51,28.04,1.44,0,52.51,2.5
16.70,29.63,25-30%,Los Angeles,3963,15.09,28.41,2.75,0,50.82,2.93
13.84,22.57,20-25%,Los Angeles,4365,10.95,26.39,3.37,0,55.92,3.37
18.04,32.80,30-35%,Los Angeles,4723,16.11,17.36,1.59,0,63.22,1.72
23.48,45.52,45-50%,Los Angeles,6978,7.01,16.77,1.52,0,69.62,5.09
19.26,35.75,35-40%,Los Angeles,4586,10.14,13.08,0.33,0.68,74.42,1.35
18.54,34.04,30-35%,Los Angeles,5397,13.47,24.27,0,0.26,59.92,2.08
37.30,70.97,70-75%,Los Angeles,4517,48.73,21.41,8.63,0,18.84,2.39
31.45,61.36,60-65%,Los Angeles,4539,38.82,24.01,4.3,0,30.85,2.03
32.87,63.77,60-65%,Los Angeles,7669,52.99,29.77,4.51,0,9.41,3.31
23.49,45.59,45-50%,Los Angeles,3165,27.01,46.19,3.92,0,18.99,3.89
39.70,74.51,70-75%,Los Angeles,6758,58.23,16.14,9,0,15.52,1.11
39.97,74.96,70-75%,Los Angeles,6399,68.28,9.95,9.35,0,10.77,1.66
21.12,40.23,40-45%,Los Angeles,2689,37.26,33.4,0.82,0.19,24.14,4.2
30.98,60.59,60-65%,Los Angeles,4202,30.13,19.18,0.74,0.38,46.74,2.83
25.21,49.21,45-50%,Los Angeles,4480,33.59,17.01,3.21,0.22,44.78,1.18
27.17,53.38,50-55%,Los Angeles,4273,25.65,24.81,0.98,0.09,45.52,2.95
10.81,15.00,15-20%,Los Angeles,4190,8.35,20.29,1.17,0.53,66.21,3.46
15.19,26.00,25-30%,Los Angeles,6000,8.12,15.27,1.42,0,73.6,1.6
17.60,31.83,30-35%,Los Angeles,5655,13.76,21.66,1.96,0,59.94,2.67
26.55,52.11,50-55%,Los Angeles,4400,19.36,18.07,2.68,0,58.27,1.61
24.16,47.09,45-50%,Los Angeles,7601,19.35,16.06,0.39,0.36,62.79,1.05
27.04,53.14,50-55%,Los Angeles,4103,14.65,18.52,0.02,1,63.56,2.24
23.03,44.58,40-45%,Los Angeles,5951,19.86,14.1,0.67,0.35,63.02,2
39.87,74.79,70-75%,Los Angeles,4491,13.16,10.58,0.22,0,74.33,1.71
46.80,84.18,80-85%,Los Angeles,4471,33.73,6.84,0.47,0.22,58.17,0.56
53.91,91.55,90-95%,Los Angeles,4350,46.53,7.68,0,0.48,45.11,0.21
43.27,79.87,75-80%,Los Angeles,3705,54.49,5.21,0.16,0,40.03,0.11
46.32,83.69,80-85%,Los Angeles,6938,52.91,8.4,1.18,0,37.23,0.27
52.03,90.09,90-95%,Los Angeles,8180,59.74,6.91,0.17,0,32.31,0.87
50.06,87.96,85-90%,Los Angeles,7210,55.19,3.79,1.39,0,38.46,1.18
47.24,84.69,80-85%,Los Angeles,4852,54.45,1.61,0,0,42.46,1.48
66.56,98.29,95-100% (highest scores),Los Angeles,5779,81.48,1.96,0,0,16.56,0
61.55,96.42,95-100% (highest scores),Los Angeles,2797,49.48,2.79,0.18,0,47.55,0
64.31,97.57,95-100% (highest scores),Los Angeles,5077,72.52,1.73,0,0,24.88,0.87
46.55,83.91,80-85%,Los Angeles,3727,26.91,3.6,1.21,0.4,66.33,1.56
36.80,70.31,70-75%,Los Angeles,3312,29.56,8.21,0.21,0.57,57.49,3.96
76.26,99.79,95-100% (highest scores),Los Angeles,2464,48.3,2.44,0.16,0.16,48.42,0.53
66.78,98.37,95-100% (highest scores),Los Angeles,5348,56.69,0.71,0,0,42.59,0
64.58,97.66,95-100% (highest scores),Los Angeles,6246,62.09,6.61,0.74,0,29.6,0.96
57.03,93.91,90-95%,Los Angeles,1530,78.76,2.03,3.86,0,14.97,0.39
48.81,86.52,85-90%,Los Angeles,5063,69.09,3.69,1.05,0,25.64,0.53
52.21,90.28,90-95%,Los Angeles,4582,64.32,1.22,0.39,0,33.83,0.24
51.84,89.83,85-90%,Los Angeles,3136,68.24,3.13,0.13,0,28.51,0
54.32,91.94,90-95%,Los Angeles,3193,62.51,1.13,0.19,4.04,31.38,0.75
58.86,95.03,95-100% (highest scores),Los Angeles,3405,69.81,2.26,0.35,0,27.2,0.38
55.50,92.91,90-95%,Los Angeles,4713,76.28,3.44,0.25,0.79,16.52,2.72
51.36,89.30,85-90%,Los Angeles,4882,80.17,0.57,0,0,19.25,0
76.91,99.85,95-100% (highest scores),Los Angeles,1949,93.89,0.72,0,0,5.39,0
57.51,94.20,90-95%,Los Angeles,3269,75.68,1.35,0,0,22.97,0
68.72,98.81,95-100% (highest scores),Los Angeles,4802,72.16,0.85,0.31,0,26.17,0.5
49.70,87.53,85-90%,Los Angeles,5066,32.21,2.41,0,0,65.38,0
51.74,89.74,85-90%,Los Angeles,2896,32.63,3.21,0,0,63.95,0.21
63.87,97.44,95-100% (highest scores),Los Angeles,3684,84.99,1.63,0,0.27,12.65,0.46
67.02,98.41,95-100% (highest scores),Los Angeles,5944,89.8,1.77,0.19,0,8.24,0
54.53,92.12,90-95%,Los Angeles,3362,71.3,8.6,1.25,0.3,18.56,0
61.83,96.50,95-100% (highest scores),Los Angeles,6032,78.03,0.88,0.71,0.1,20.17,0.1
46.09,83.35,80-85%,Los Angeles,3284,83.31,2.89,0,0.61,13.19,0
62.71,96.95,95-100% (highest scores),Los Angeles,4410,80.11,3.11,0.14,0.39,16.26,0
63.13,97.11,95-100% (highest scores),Los Angeles,4717,81.96,3.03,0.11,0,14.12,0.78
70.22,99.14,95-100% (highest scores),Los Angeles,3039,92.3,1.32,0.16,0,6.22,0
10.93,15.31,15-20%,Los Angeles,4421,16.13,56.23,1.04,0,23.41,3.19
15.23,26.10,25-30%,Los Angeles,6196,14.57,56.15,11.62,0.32,8.76,8.57
11.49,16.60,15-20%,Los Angeles,5861,19.16,34.41,32.81,0,9.02,4.59
21.57,41.24,40-45%,Los Angeles,4845,16.24,37.98,35.89,0.45,6.09,3.34
27.23,53.50,50-55%,Los Angeles,4221,47.69,19.24,27.62,0,3.32,2.13
22.25,42.65,40-45%,Los Angeles,985,40.51,18.27,28.73,0,5.59,6.9
7.76,8.09,5-10%,Los Angeles,5614,7,51.78,0,0,36.69,4.52
6.81,6.43,5-10%,Los Angeles,4277,12.46,46.88,0.3,0,36.75,3.6
6.75,6.28,5-10%,Los Angeles,4416,7.02,65.99,0,0,22.37,4.62
9.31,11.20,10-15%,Los Angeles,5139,11.97,55.24,2.74,0,25.84,4.2
12.09,18.17,15-20%,Los Angeles,3103,10.92,66.32,6.77,0.52,14.41,1.06
34.16,66.16,65-70%,Los Angeles,6731,59.04,13.47,15.02,0,10.04,2.42
30.02,58.71,55-60%,Los Angeles,6249,49.7,8.98,35.03,0.29,3.73,2.27
22.31,42.75,40-45%,Los Angeles,5419,44.05,28.18,21.59,0,2.97,3.21
15.51,26.71,25-30%,Los Angeles,4535,17.11,62.82,11.25,0.18,5.03,3.62
23.10,44.77,40-45%,Los Angeles,6840,17.62,61.08,3.67,0.58,11.52,5.53
22.98,44.43,40-45%,Los Angeles,3119,30.94,47.39,5.1,0,8.02,8.56
21.19,40.38,40-45%,Los Angeles,3971,48.35,23.6,15.76,0,10.17,2.12
28.12,55.23,55-60%,Los Angeles,6423,53.56,21.36,14.98,0,7.82,2.29
39.13,73.66,70-75%,Los Angeles,6058,56.75,12.97,13.85,0.63,11.59,4.21
28.91,56.77,55-60%,Los Angeles,1526,16.12,61.4,10.22,0,9.83,2.42
35.65,68.63,65-70%,Los Angeles,5051,57.28,17.86,13.4,0.1,8.3,3.07
24.42,47.64,45-50%,Los Angeles,1801,12.38,38.03,12.88,0,30.04,6.66
26.50,51.99,50-55%,Los Angeles,4460,74.13,9.1,8.68,0,7.08,1.01
33.71,65.36,65-70%,Los Angeles,4043,71.48,10.14,14.2,0.69,1.66,1.83
27.28,53.58,50-55%,Los Angeles,5748,61.01,20.41,8.04,0,7.86,2.68
37.45,71.29,70-75%,Los Angeles,3941,33.77,37.27,9.16,0,16.32,3.48
31.22,61.09,60-65%,Los Angeles,2775,15.46,42.02,8,0,30.59,3.93
31.32,61.22,60-65%,Los Angeles,5265,61.58,20.19,8.66,0.17,7.26,2.15
28.18,55.27,55-60%,Los Angeles,3213,31.93,32.46,5.1,0,26.8,3.7
17.98,32.70,30-35%,Los Angeles,3944,29.67,52.79,2.33,0.84,9.38,4.99
16.30,28.57,25-30%,Los Angeles,6146,20.09,53.12,4.12,0,18.19,4.47
9.64,12.12,10-15%,Los Angeles,2152,24.81,51.58,7.34,0,13.8,2.46
19.75,36.89,35-40%,Los Angeles,5413,41.38,29.1,4.86,0,20.47,4.19
25.14,49.04,45-50%,Los Angeles,2827,32.9,38.34,8.7,0,15.46,4.6
14.19,23.49,20-25%,Los Angeles,3797,33.74,45.9,2.98,0,13.91,3.48
17.52,31.61,30-35%,Los Angeles,2665,15.31,43.19,5.4,0,29.76,6.34
23.69,45.84,45-50%,Los Angeles,2373,31.44,28.32,4.47,0,31.73,4.05
32.61,63.45,60-65%,Los Angeles,3878,38.53,24.16,2.37,0,33.16,1.78
23.65,45.73,45-50%,Los Angeles,3563,22.99,40.08,5.73,0,27.9,3.31
13.43,21.53,20-25%,Los Angeles,1970,20.51,46.45,4.72,0,26.4,1.93
16.92,30.27,30-35%,Los Angeles,5787,21.63,39.33,6.55,0.28,27.58,4.63
12.79,19.93,15-20%,Los Angeles,5982,14.51,49.58,5.37,0.33,26.85,3.36
21.41,40.90,40-45%,Los Angeles,5988,20.62,42.87,2.42,0,31.02,3.06
18.36,33.64,30-35%,Los Angeles,6057,17.34,37.92,9.33,0,31.98,3.43
20.85,39.69,35-40%,Los Angeles,3138,12.52,61.47,6.05,0,13.8,6.15
6.58,5.91,5-10%,Los Angeles,4066,11.71,62.15,2.34,0,16.75,7.06
21.30,40.53,40-45%,Los Angeles,3290,14.68,60.43,9.06,0.82,11.58,3.43
18.80,34.75,30-35%,Los Angeles,5623,15.83,45.6,9,0,24.26,5.32
8.07,8.69,5-10%,Los Angeles,7121,6.67,30.74,0.79,0,58.83,2.98
8.72,10.00,5-10%,Los Angeles,6073,5.76,25.47,3.13,0,62.85,2.78
12.19,18.43,15-20%,Los Angeles,3623,20.23,25.64,1.9,0,50.32,1.9
21.77,41.70,40-45%,Los Angeles,5466,36.17,14.87,0.51,0,45.96,2.49
15.12,25.81,25-30%,Los Angeles,4975,19.4,18.13,1.03,0,60.64,0.8
24.83,48.37,45-50%,Los Angeles,3731,10.48,11.87,0.08,0.4,73.6,3.56
28.91,56.81,55-60%,Los Angeles,4487,21.35,15.76,2.01,0,57.92,2.96
12.63,19.52,15-20%,Los Angeles,3787,24,33.11,1.29,0,38.76,2.83
20.79,39.52,35-40%,Los Angeles,2553,28.67,21.43,0.82,0.63,43.52,4.94
26.25,51.39,50-55%,Los Angeles,4672,35.55,15.88,0.88,2.12,41.78,3.79
35.85,68.91,65-70%,Los Angeles,4103,44.31,5.63,4.75,0,44.41,0.9
35.55,68.48,65-70%,Los Angeles,4506,34.35,8.08,1.69,0.51,54.26,1.11
21.33,40.62,40-45%,Los Angeles,5538,28.69,14.12,3.02,0.45,48.52,5.2
8.82,10.26,10-15%,Los Angeles,5108,15.66,51.35,0.06,0,28.13,4.8
18.95,35.01,35-40%,Los Angeles,8038,19.4,47.74,5.87,0.02,21.61,5.36
7.10,6.93,5-10%,Los Angeles,4284,16.69,33.43,5,0,42.55,2.33
11.37,16.31,15-20%,Los Angeles,3612,20.13,38.68,1.72,0,35.6,3.88
16.60,29.32,25-30%,Los Angeles,4619,20.44,36.09,0.97,0.95,32.43,9.11
31.04,60.73,60-65%,Los Angeles,3162,53.23,6.01,0.16,0,37.19,3.42
37.69,71.63,70-75%,Los Angeles,3699,60.04,11,0.78,0.3,23.06,4.81
30.96,60.54,60-65%,Los Angeles,4892,38.72,9.32,3.21,0,45.85,2.9
36.35,69.68,65-70%,Los Angeles,5407,39.17,6.55,3.64,0,49.69,0.94
42.01,78.08,75-80%,Los Angeles,4109,43.98,4.6,1.73,0.46,47.55,1.68
39.57,74.23,70-75%,Los Angeles,3248,26.32,6,0.86,0.18,64.41,2.22
41.75,77.71,75-80%,Los Angeles,4369,27.15,12.15,0.41,0,59.49,0.8
37.35,71.14,70-75%,Los Angeles,5646,36.01,9.78,0.25,0,53,0.97
33.14,64.27,60-65%,Los Angeles,4513,40.02,11.12,1.6,0.24,46.4,0.62
32.97,64.02,60-65%,Los Angeles,4000,19.48,12.05,1.2,0,65.28,2
39.24,73.81,70-75%,Los Angeles,4926,42.2,6.09,0.16,0,51.32,0.22
36.44,69.79,65-70%,Los Angeles,3910,28.82,7.01,0.33,0,62.99,0.84
38.11,72.33,70-75%,Los Angeles,6188,32.69,8.26,0.11,0,57.34,1.6
43.14,79.72,75-80%,Los Angeles,3299,28.46,3.82,0.03,0.24,67.44,0
38.32,72.63,70-75%,Los Angeles,6267,17.12,5.49,0.05,0.19,75.84,1.31
37.64,71.55,70-75%,Los Angeles,6598,20.02,7.74,0.08,0,70.87,1.29
44.82,81.77,80-85%,Los Angeles,4489,16.44,5.21,1.29,0,75.74,1.31
41.70,77.65,75-80%,Los Angeles,3486,18.5,4.04,4.82,0.89,70.97,0.77
40.15,75.23,75-80%,Los Angeles,3701,31.83,9.7,1,0,57.09,0.38
34.13,66.10,65-70%,Los Angeles,2831,31.58,4.7,0,0.32,62.81,0.6
35.78,68.82,65-70%,Los Angeles,5013,24,2.71,5.57,0,67.72,0
22.79,43.94,40-45%,Los Angeles,4246,9.63,2.87,0.35,0,86.79,0.35
24.06,46.86,45-50%,Los Angeles,5329,19.01,0.51,0,0,80,0.49
16.78,29.89,25-30%,Los Angeles,2736,20.61,1.97,0,0,77.08,0.33
29.09,57.01,55-60%,Los Angeles,2739,6.57,3.72,0.4,0,87.55,1.75
16.33,28.63,25-30%,Los Angeles,2558,21.46,14.5,0.23,0,61.42,2.38
32.31,62.95,60-65%,Los Angeles,5775,50.49,14.11,0.81,0.09,34.01,0.48
28.04,55.08,55-60%,Los Angeles,3443,54.46,9.27,3.6,0.49,31.77,0.41
25.18,49.16,45-50%,Los Angeles,2650,14.19,4.11,0,0,80.38,1.32
30.64,59.93,55-60%,Los Angeles,6760,31.67,4.05,1.43,0.9,61.23,0.71
34.97,67.55,65-70%,Los Angeles,4750,24.74,5.37,0.29,0,68.9,0.69
31.23,61.13,60-65%,Los Angeles,2943,31.26,6.46,0.51,0,58.21,3.57
26.42,51.71,50-55%,Los Angeles,4076,26.01,2.82,0.02,0,70.14,1.01
25.07,48.85,45-50%,Los Angeles,5087,24.49,1.81,0.63,0.51,72.11,0.45
47.88,85.34,85-90%,Los Angeles,4941,19.09,1.86,0.51,0,78.12,0.43
39.67,74.42,70-75%,Los Angeles,6156,30.82,2.58,0,0,66.39,0.21
35.85,68.90,65-70%,Los Angeles,3216,44.59,2.49,1.62,0,49.5,1.8
39.40,73.97,70-75%,Los Angeles,3670,42.34,2.56,0,0,54.66,0.44
49.70,87.54,85-90%,Los Angeles,7566,45.47,4.14,0.12,0,50.17,0.11
39.22,73.79,70-75%,Los Angeles,3310,20.54,0.97,0.48,0,77.34,0.66
39.45,74.07,70-75%,Los Angeles,4293,31.38,1.98,0.98,2.17,59.96,3.54
29.58,57.99,55-60%,Los Angeles,5842,38.1,5.41,0.51,0.17,54.76,1.04
39.76,74.62,70-75%,Los Angeles,4478,46.16,6.86,0.38,0.16,44.42,2.03
27.03,53.10,50-55%,Los Angeles,6262,28.9,7.31,0,2.38,60.59,0.81
33.35,64.65,60-65%,Los Angeles,4323,60.98,3.03,0.02,0,35.74,0.23
20.76,39.41,35-40%,Los Angeles,2373,42.52,7.5,1.14,0.17,45.98,2.7
32.27,62.88,60-65%,Los Angeles,4524,40.05,4.8,0.2,0.82,51.79,2.34
14.29,23.79,20-25%,Los Angeles,4840,38.7,43.31,0.1,0.52,16.43,0.95
12.80,19.94,15-20%,Los Angeles,7267,30.43,57.38,0.39,0,7.55,4.25
18.46,33.81,30-35%,Los Angeles,4988,45.73,30.23,0.66,0.08,20.83,2.47
