chemical,date,latitude,longitude,measurement,units
Alkalinity as CaCO3,1956-03-08,40.181,-122.2419,48,MG/L
Nitrate as N,1969-08-22,40.0647,-122.1568,3.2,MG/L
Nitrate as N,1961-06-08,39.9643,-122.1982,2.7,MG/L
Alkalinity as CaCO3,1936-09-10,40.1846,-122.1807,104,MG/L
Lead,1968-06-24,40.0257,-122.0914,0,UG/L
Alkalinity as CaCO3,1978-05-31,40.221,-122.2807,106,MG/L
Alkalinity as CaCO3,1984-06-20,40.0365,-122.1238,256,MG/L
Alkalinity as CaCO3,1956-08-02,34.1694,-119.0618,334,MG/L
Alkalinity as CaCO3,1959-11-20,34.1731,-119.1993,204,MG/L
Alkalinity as CaCO3,1968-05-28,34.1766,-119.2103,201,MG/L
Nitrate as N,1966-04-08,34.1766,-119.2147,0.38,MG/L
Alkalinity as CaCO3,1964-10-15,34.1339,-119.1001,244,MG/L
Alkalinity as CaCO3,1952-07-18,34.1245,-119.1234,220,MG/L
Nitrate as N,1949-12-27,34.1245,-119.1234,0,MG/L
Alkalinity as CaCO3,1963-01-03,34.1875,-119.1841,224,MG/L
Nitrate as N,1962-10-01,34.1875,-119.1841,1,MG/L
Nitrate as N,1965-05-05,34.1253,-119.1109,0,MG/L
Alkalinity as CaCO3,1974-08-05,36.0523,-118.9648,138,MG/L
Nitrate as N,1952-11-10,36.0472,-119.2059,0.09,MG/L
Nitrate as N,1957-06-10,35.9802,-119.0635,0.27,MG/L
Nitrate as N,1960-09-22,35.991,-119.0456,1,MG/L
Nitrate as N,1966-05-24,35.9081,-119.3144,2.1,MG/L
Alkalinity as CaCO3,1966-06-15,36.2009,-119.1571,163,MG/L
Alkalinity as CaCO3,1952-04-08,36.1464,-119.0624,153,MG/L
Nitrate as N,1958-10-31,36.0905,-119.4648,0,MG/L
Alkalinity as CaCO3,1972-11-28,36.0811,-119.0724,137,MG/L
Alkalinity as CaCO3,1962-06-27,34.1339,-119.1001,249,MG/L
Nitrate as N,1961-09-19,34.1476,-118.9308,0.95,MG/L
Nitrate as N,1965-08-17,34.1513,-119.1142,0.2,MG/L
Alkalinity as CaCO3,1964-10-08,34.126,-119.1143,211,MG/L
Nitrate as N,1960-08-05,35.9152,-119.054,0.5,MG/L
Nitrate as N,1958-08-06,35.9441,-119.059,0.2,MG/L
Nitrate as N,1962-09-12,35.9152,-119.054,0.2,MG/L
Alkalinity as CaCO3,1976-07-28,35.8035,-119.2471,226,MG/L
Alkalinity as CaCO3,1956-09-08,36.4477,-119.2786,162,MG/L
Nitrate as N,1977-06-08,35.8756,-119.4847,4.3,MG/L
Nitrate as N,1978-05-31,36.3134,-119.3326,2.7,MG/L
Alkalinity as CaCO3,1952-08-27,34.2852,-119.1535,260,MG/L
Nitrate as N,1966-03-17,34.1585,-119.1623,1.2,MG/L
Nitrate as N,1958-10-17,34.249,-119.1142,0.5,MG/L
Alkalinity as CaCO3,1933-10-17,34.2656,-119.1301,230,MG/L
Alkalinity as CaCO3,1970-06-01,34.2497,-119.1557,214,MG/L
Alkalinity as CaCO3,1952-07-17,34.2527,-119.0793,232,MG/L
Alkalinity as CaCO3,1958-02-13,34.2164,-119.04,216,MG/L
Nitrate as N,1959-11-27,34.1986,-119.2387,0.95,MG/L
Alkalinity as CaCO3,1952-07-28,34.2672,-118.6644,190,MG/L
Nitrate as N,1960-07-26,34.2527,-118.6513,0,MG/L
Alkalinity as CaCO3,1964-06-04,34.1911,-119.2059,212,MG/L
Alkalinity as CaCO3,1965-06-01,34.1397,-119.1626,214,MG/L
Nitrate as N,1962-10-08,34.1436,-119.1693,0.5,MG/L
Nitrate as N,1961-11-13,34.1469,-119.1871,0.56,MG/L
Nitrate as N,1956-05-15,34.144,-119.1841,0.27,MG/L
Nitrate as N,1965-11-05,34.1476,-119.2015,0.2,MG/L
Nitrate as N,1973-05-18,34.2454,-118.8696,0.36,MG/L
Alkalinity as CaCO3,1960-06-17,34.2454,-118.8696,221,MG/L
Alkalinity as CaCO3,1965-02-15,34.1549,-119.1666,198,MG/L
Nitrate as N,1964-05-19,34.1542,-119.1684,0,MG/L
Alkalinity as CaCO3,1972-10-05,34.1542,-119.1684,148,MG/L
Alkalinity as CaCO3,1963-01-17,34.2672,-118.9963,156,MG/L
Alkalinity as CaCO3,1961-06-14,34.1549,-119.1754,236,MG/L
Nitrate as N,1975-07-08,34.2189,-119.0084,0,MG/L
Alkalinity as CaCO3,1963-12-02,34.0825,-118.9439,442,MG/L
Alkalinity as CaCO3,1976-06-17,34.14,-119.154,208,MG/L
Nitrate as N,1964-05-20,34.1476,-119.1666,0,MG/L
Nitrate as N,1977-10-14,34.2454,-118.8784,0.09,MG/L
Nitrate as N,1969-05-05,34.4083,-118.7517,14,MG/L
Alkalinity as CaCO3,1966-05-13,34.4083,-118.7517,345,MG/L
Lead,1972-05-18,34.4075,-118.774,0,UG/L
Nitrate as N,1962-06-28,34.4011,-118.8085,4.3,MG/L
Nitrate as N,1962-06-29,34.4047,-118.9046,2.2,MG/L
Alkalinity as CaCO3,1969-06-27,34.3938,-118.8129,198,MG/L
Nitrate as N,1962-09-14,34.2816,-119.3152,0.7,MG/L
Nitrate as N,1961-06-30,34.2599,-119.1491,2.7,MG/L
Nitrate as N,1953-08-24,34.2382,-119.1535,2.5,MG/L
Alkalinity as CaCO3,1959-04-07,34.2382,-119.1535,204,MG/L
Nitrate as N,1953-08-25,34.2273,-119.1754,9.3,MG/L
