chemical,date,latitude,longitude,measurement,units
Alkalinity as CaCO3,2007-10-30,39.8034,-120.3821,75,MG/L
Alkalinity as CaCO3,1964-08-19,40.2996,-121.2245,68,MG/L
Arsenic,1960-08-16,39.818,-120.3608,0,UG/L
Lead,1964-08-19,39.9499,-120.9565,0,UG/L
Alkalinity as CaCO3,1982-09-09,38.8735,-121.2414,121,MG/L
Alkalinity as CaCO3,1963-10-23,33.5077,-117.6721,226,MG/L
Nitrate as N,1964-02-21,33.4722,-117.6809,0.05,MG/L
Alkalinity as CaCO3,1971-12-13,33.522,-117.7419,383,MG/L
Nitrate as N,1958-05-27,33.4899,-117.6721,0.99,MG/L
Nitrate as N,1967-03-30,33.5184,-117.6721,5.4,MG/L
