Census Tract,Total Population,California County,ZIP,Approximate Location,Longitude,Latitude,CES 4.0 Score, CES 4.0 Percentile,CES 4.0 Percentile Range,DAC category,Ozone,Ozone Pctl,PM2.5,PM2.5 Pctl,Diesel PM,Diesel PM Pctl,Drinking Water,Drinking Water Pctl,Lead,Lead Pctl,Pesticides,Pesticides Pctl,Tox. Release,Tox. Release Pctl,Traffic,Traffic Pctl,Cleanup Sites,Cleanup Sites Pctl,Groundwater Threats,Groundwater Threats Pctl,Haz. Waste,Haz. Waste Pctl,Imp. Water Bodies,Imp. Water Bodies Pctl,Solid Waste,Solid Waste Pctl,Pollution Burden,Pollution Burden Score,Pollution Burden Pctl,Asthma,Asthma Pctl,Low Birth Weight,Low Birth Weight Pctl,Cardiovascular Disease,Cardiovascular Disease Pctl,Education,Education Pctl,Linguistic Isolation,Linguistic Isolation Pctl,Poverty,Poverty Pctl,Unemployment,Unemployment Pctl,Housing Burden,Housing Burden Pctl,Pop. Char. ,Pop. Char. Score,Pop. Char. Pctl
6037533403,2848,Los Angeles,90270,Maywood,-118.1871993,33.9879399,62.44,96.76,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.047,50.54,12.12538715,86.02,0.609,93.18,473.45,57.39,86.68,94.47,0.00,0.00,3724.190023,87.91,1223.856579,69.55,16.6,77.44,15.5,60.43,0.745,79.80,7,66.74,0.5,22.08,65.35,7.98,96.10,47.78,53.33,5.58,66.28,18.57,82.90,44.6,93.36,33.3,96.95,40.3,69.56,7.3,69.98,28.1,86.98,75.43,7.83,87.18
6037543100,7254,Los Angeles,90220,Compton,-118.2539533,33.881033,62.43,96.75,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.042,26.70,12.14085089,86.66,0.418,85.95,506.17,61.10,79.42,88.73,3.63,51.79,21611.4668,99.60,1377.490556,74.75,16.5,77.32,9.85,45.19,5.88,98.21,7,66.74,8.5,87.72,72.95,8.91,99.18,96.18,91.64,6.08,76.82,15.27,68.20,29.2,79.27,5.5,40.44,37.7,65.70,6.1,58.36,14.8,37.48,67.57,7.01,76.66
6077001900,4681,San Joaquin,95205,Stockton,-121.2605554,37.9516762,62.42,96.73,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.046,44.98,12.06406621,82.14,0.512,90.37,389.85,41.55,79.94,89.20,0.34,34.86,286.1203359,40.96,681.8709837,34.68,14.2,73.55,41.8,87.00,0.185,31.38,1,12.45,5,75.67,56.90,6.95,86.06,102.71,93.28,5.06,54.12,23.94,96.73,47.8,95.25,21.4,88.35,71.7,97.95,10.2,87.06,30.1,90.67,86.62,8.99,97.66
6037239601,3682,Los Angeles,90003,Los Angeles,-118.2752977,33.9728371,62.40,96.72,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.044,37.57,12.13275518,86.38,0.499,89.87,787.94,92.53,90.49,97.08,0.00,0.00,4498.379964,91.21,3339.908089,97.23,7.5,51.62,7,37.61,0.05,7.35,0,0.00,1,35.72,58.14,7.10,88.08,113.88,95.43,6.67,86.03,27.88,99.23,44.7,93.43,11.8,68.16,61.8,92.83,3.7,26.86,39,98.25,84.73,8.79,96.43
6037297110,4649,Los Angeles,90731,Los Angeles,-118.284187,33.7346618,62.39,96.71,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.038,16.78,11.66349226,64.85,1.195,98.92,391.08,42.43,77.93,87.35,0.00,0.00,4481.876546,91.19,513.3361806,21.91,15.6,75.64,19.3,67.13,2.295,93.81,11,86.96,1.25,38.99,59.45,7.26,90.14,103.61,93.62,6.81,87.77,14.57,64.02,33.1,83.57,13.2,71.92,54.5,86.62,9.7,84.98,31.4,92.48,82.86,8.60,95.16
6071003700,3782,San Bernardino,92376,Rialto,-117.3703725,34.0995419,62.39,96.70,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.070,98.67,11.99351264,77.81,0.229,67.02,787.82,88.05,78.83,88.33,0.00,0.00,1371.41036,71.06,848.3523287,47.73,17,78.01,0,0.00,0.6,74.73,0,0.00,0,0.00,55.07,6.72,82.55,77.93,84.16,6.77,87.44,23.12,95.44,37.5,87.75,14.3,75.53,73.3,98.43,11.3,90.59,36.3,97.03,89.44,9.28,98.93
6037228720,4825,Los Angeles,90011,Los Angeles,-118.2499406,33.999367,62.38,96.68,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.046,44.98,12.21219619,88.55,0.145,49.93,787.94,92.53,93.40,98.92,0.00,0.00,3334.880005,86.08,711.9885826,37.06,18.2,79.86,1,6.97,0.99,84.98,0,0.00,1.5,42.31,55.78,6.81,83.87,69.72,78.40,5.91,73.33,22.77,94.90,57.5,98.80,25,92.37,71.7,97.95,9.6,84.58,39,98.25,88.30,9.16,98.56
6037226420,5531,Los Angeles,90011,Los Angeles,-118.2570623,34.0218419,62.38,96.67,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.046,46.99,12.15802236,87.29,0.395,84.53,787.94,92.53,81.16,90.32,0.00,0.00,2623.926636,83.23,916.7699754,52.80,32.55,89.68,1,6.97,0.92,83.81,0,0.00,0.2,9.67,57.48,7.02,87.03,69.72,78.40,5.72,69.35,22.77,94.90,59.3,99.20,27.6,94.33,57.7,89.87,9.4,83.63,27.2,85.27,85.67,8.89,97.08
6071005400,6750,San Bernardino,92405,San Bernardino,-117.2908999,34.1322998,62.38,96.66,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.073,100.00,11.27142886,57.65,0.224,66.16,404.58,44.11,93.36,98.89,0.00,0.00,710.8003185,58.43,1023.781586,59.48,15.5,75.57,28,77.93,0.55,72.59,0,0.00,0.5,22.08,56.94,6.95,86.09,111.02,95.05,6.76,87.34,20.04,87.57,38.4,88.71,7.9,52.89,62.2,93.12,12.1,92.40,28.5,87.88,86.49,8.97,97.58
6037540600,4981,Los Angeles,90059,Willowbrook,-118.2341162,33.9243583,62.34,96.65,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.044,35.16,12.10051881,84.47,0.383,83.73,467.19,56.19,82.77,91.81,0.00,0.00,11534.85352,98.07,1787.20928,83.60,20.05,81.93,24.75,74.17,5.48,98.08,0,0.00,0.2,9.67,62.01,7.57,93.24,66.54,75.82,7.13,91.04,13.36,56.46,40.7,90.46,6.1,43.88,65.8,95.41,26.6,99.83,30.9,91.90,79.37,8.23,91.93
6037532001,3036,Los Angeles,90640,Montebello,-118.1235535,34.0060075,62.27,96.63,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.050,60.93,12.15638315,87.21,0.429,86.52,487.02,58.77,93.76,99.05,0.00,0.00,3420.92334,86.47,788.8954183,43.41,10,61.38,23.8,73.27,1.67,91.40,0,0.00,10.35,91.52,64.70,7.90,95.62,45.64,49.89,7.58,94.42,13.51,57.44,42,91.43,22.3,89.52,59.4,91.27,6.8,65.63,27.4,85.75,75.99,7.88,87.93
6037199201,3660,Los Angeles,90031,Los Angeles,-118.211907,34.0762204,62.26,96.62,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.050,62.53,12.70430833,92.45,0.114,41.41,806.21,94.17,83.66,92.41,0.00,0.00,1712.557984,75.96,946.9841038,54.80,16.15,76.86,11.3,50.27,0.27,45.73,14,93.36,1.75,43.94,63.49,7.75,94.65,59.14,68.21,7.97,96.29,9.64,26.58,39,89.22,37.6,98.24,66.6,95.84,13.7,95.29,24,77.21,77.43,8.03,89.51
6037221401,3628,Los Angeles,90018,Los Angeles,-118.3132694,34.033886,62.25,96.61,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.046,44.98,12.0125659,79.02,0.753,96.12,787.94,92.53,82.69,91.71,0.00,0.00,2152.11204,80.60,4044.383573,98.80,3.5,33.87,6.25,35.35,0.745,79.80,0,0.00,0,0.00,58.58,7.15,88.90,89.86,89.61,7.02,90.08,18.08,80.89,26.9,76.18,21.9,89.04,64.3,94.60,5.3,48.26,35.7,96.63,83.90,8.70,95.88
6037535604,4476,Los Angeles,90280,South Gate,-118.2241036,33.9506731,62.19,96.60,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.045,39.99,12.06544894,82.34,0.485,89.32,671.72,74.00,97.80,99.97,0.00,0.00,6106.439982,94.16,992.1589477,57.36,52.55,96.34,15.3,60.14,0.45,65.92,0,0.00,1,35.72,61.97,7.57,93.20,52.53,59.56,5.32,60.28,18.39,82.29,48.8,95.87,25.1,92.39,51.7,83.66,11.4,90.86,31.5,92.64,79.23,8.22,91.78
6037195802,2691,Los Angeles,90026,Los Angeles,-118.2776959,34.0756705,62.18,96.58,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.048,55.38,12.19449024,88.21,0.492,89.58,787.94,92.53,79.99,89.25,0.00,0.00,1704.163046,75.83,3691.429139,98.18,12.15,69.19,13,54.52,1.68,91.44,7,66.74,0,0.00,67.87,8.29,97.44,55.51,63.38,7.14,91.28,14.01,60.28,22.3,68.75,13,71.39,41.8,71.91,7.3,69.98,26.2,83.08,72.33,7.50,83.18
6037122122,2728,Los Angeles,91352,Los Angeles,-118.3736105,34.2197648,62.14,96.57,95-100% (highest scores),CalEnviroScreen 4.0 Top 25%,0.064,91.05,11.4259185,59.69,0.391,84.26,726.64,83.13,62.80,69.67,0.00,0.00,939.851349,62.77,1620.993788,80.53,40.9,93.75,9.5,44.83,0.945,84.35,6,58.69,10.1,91.11,69.11,8.44,98.01,74.78,81.89,3.61,18.40,15.13,67.12,53,97.65,20.2,86.90,65.9,95.50,5.6,52.52,39.3,98.35,70.99,7.36,81.40
